model,mae,rmse,mape
SARIMA,1.7437521403613683,1.8926863319525176,1.0985604708538652
AR,18.887557317432755,21.386148847010446,11.798476034502544
MA,18.729074109761196,21.45316655688902,11.661614892950793
ARMA,21.92958629625566,24.958274543294472,13.707866477791104
ARIMA,24.516604531481914,27.596106514917484,15.314516007441831
