x1,x2,f1,f2,method
0.028168475237207547,0.0,0.0007934629971891748,1.9444565125227742,nsga_ii
0.02112629582584675,0.05744300546687832,0.003746019252389002,1.8466074166669388,nsga_ii
0.02923192141681861,0.06476856504156221,0.005049472247262133,1.8170484993305003,nsga_ii
0.043411428995963085,0.07715211700200775,0.007837001325363037,1.7667099093294214,nsga_ii
0.051404554041065406,0.08476516068129869,0.0098275606414872,1.7374881311967592,nsga_ii
0.041941728930490585,0.12555110545247034,0.017522188706016077,1.6825365199400943,nsga_ii
0.054261910452073084,0.13061334287429496,0.020004200262706936,1.650253693609971,nsga_ii
0.09239589428413951,0.11365068138775951,0.021453478660467908,1.60936032731667,nsga_ii
0.13378875493494313,0.10250023035248672,0.02840572816935511,1.5558277575944954,nsga_ii
0.12416092635229582,0.13834703293457262,0.03455583715445995,1.509539918580723,nsga_ii
0.13001879783650214,0.1617410782576249,0.043065064186788356,1.459545311998534,nsga_ii
0.1467218079094296,0.1763944068067676,0.052642275668922975,1.4064098462365289,nsga_ii
0.1798484021717964,0.20629971087406435,0.07490501847047076,1.3026087923787495,nsga_ii
0.1719693246818189,0.2777568400029523,0.1067223107999465,1.2072699814304042,nsga_ii
0.22686798933948563,0.24902235055224617,0.11348121566150673,1.1617005358780432,nsga_ii
0.2602774868687328,0.2782210131700344,0.14515130234006385,1.0681543022625295,nsga_ii
0.2727788267557666,0.28602798878911506,0.15622029869699866,1.0386066676072354,nsga_ii
0.2813701337067863,0.2984546297856409,0.16824431818265878,1.0085947911978042,nsga_ii
0.29898710124346023,0.31755476491552503,0.1902343154305215,0.9571505831125511,nsga_ii
0.3145288696058632,0.32086575160987146,0.20188324037170982,0.9310939979402406,nsga_ii
0.3277503528806673,0.3480646663290829,0.22856930576017775,0.8769392673406773,nsga_ii
0.3779984968474805,0.3678766273903993,0.2782160765990894,0.7864658281233298,nsga_ii
0.3703324661012272,0.3992653587904015,0.29655896217864464,0.7573633123953871,nsga_ii
0.4085106818990521,0.37275493165556584,0.3058272162991741,0.7432959891899382,nsga_ii
0.3964361023943569,0.4141198311201382,0.3286568178086008,0.7075449507796107,nsga_ii
0.4122656108764744,0.41516088404873214,0.3423214935554774,0.6874685037050643,nsga_ii
0.4226529347595386,0.42514108205809675,0.35938044291438015,0.6637924092791094,nsga_ii
0.4576586330292238,0.41266462466304776,0.37974351683447183,0.6390970014499286,nsga_ii
0.4795804306223851,0.428398016945168,0.41352225035850476,0.5975653552233986,nsga_ii
0.5099706679701712,0.4502092540806034,0.46275845464975596,0.5423986105482066,nsga_ii
0.5022755635105931,0.4887301121047503,0.4911378641778057,0.5091265129471189,nsga_ii
0.5208702575576265,0.5071331631391782,0.5284898703636965,0.4724830289700871,nsga_ii
0.5162395219141661,0.5133133558891674,0.5299938453203659,0.4708880897136988,nsga_ii
0.5255950456737661,0.5349840368321832,0.5624580717020671,0.4412999066901684,nsga_ii
0.5411865743760526,0.5446039593259201,0.5894763807983551,0.4178953133944098,nsga_ii
0.6041378171695981,0.5653337148210598,0.684584711247826,0.3456416472665103,nsga_ii
0.6197032570909379,0.6265320726130612,0.7765745648619352,0.2841039054539371,nsga_ii
0.6375331937332588,0.6424136190400105,0.8191438310398126,0.25925020549327404,nsga_ii
0.6602309007126631,0.6423353721631769,0.8484995725878615,0.24336702683618136,nsga_ii
0.6710258463236547,0.6632419508026872,0.8901655717389312,0.22162997748624738,nsga_ii
0.7127163536032927,0.6580275647889063,0.940964876715592,0.19947703993119403,nsga_ii
0.729690500045299,0.6609102683049353,0.9692506086072601,0.1880490719067915,nsga_ii
0.7292192125950813,0.7383771510011764,1.0769614771384044,0.14176874994588906,nsga_ii
0.7596071206996894,0.7629750584559278,1.1591339176434992,0.11396955933226453,nsga_ii
0.7773040761548965,0.7719746683104283,1.200146515320013,0.10158902638936335,nsga_ii
0.7883969278980506,0.7909551856036175,1.247179821552337,0.08847559454900078,nsga_ii
0.8146692791445722,0.8108345543710369,1.321138708944015,0.07013104191279669,nsga_ii
0.8536715022938272,0.8011174622158537,1.3705442220957695,0.06096629307640783,nsga_ii
0.8482603468612916,0.8366807064709472,1.419580220637962,0.04969811397348446,nsga_ii
0.8640833269824191,0.8442071829435419,1.459325763702477,0.04274474385055503,nsga_ii
0.8576501407722182,0.8792830084699775,1.5087023729506202,0.0348360744662288,nsga_ii
0.8950666383605264,0.8826216783730351,1.5801653142400465,0.02478868077292378,nsga_ii
0.906219922436893,0.9042425849568141,1.6388892002709095,0.017964185483495335,nsga_ii
0.925081629681846,0.933437848404246,1.7270822384083684,0.010043282236184184,nsga_ii
0.9301265126725276,0.9416747863183543,1.751886732764076,0.008284134782312082,nsga_ii
0.9402705266138587,0.9601460179173167,1.8059890389411832,0.005155949878832607,nsga_ii
0.9544468008265711,0.9707196508445434,1.8532653361438285,0.0029324328015995355,nsga_ii
0.964673295646553,0.9848160923445589,1.9004573030743888,0.0014785270921648123,nsga_ii
0.981335261717108,0.9813627662169487,1.9260917748063666,0.0006957189382529596,nsga_ii
1.0,1.0,2.0,0.0,nsga_ii
