method,rmse,final_value,elapsed_seconds,nfev
RK23,19.931682451259835,358.6128844852836,0.003206332999980077,725
Radau,19.93170575641739,358.61282779923283,0.008721332997083664,584
RK45,19.931707380987024,358.61282702851196,0.000736625021090731,188
DOP853,19.93171461596503,358.61283055685533,0.0005579169956035912,170
