t,est_pos,est_vel,true_pos,measurement
0,0.5960569836134791,0.0,0.0,0.5960569836134791
1,0.8257115380682685,0.21773729372177594,1.0,0.8340828385945784
2,1.8748464670310923,0.727900661564518,2.0,2.777226245720831
3,3.499364379134505,1.1090178471243417,3.0,4.8276358276896305
4,4.170594372804933,0.9630708888190704,4.0,3.719015950331997
5,4.918439251019188,0.9002245612690565,5.0,4.719035651660984
6,6.6922370365408295,1.1459755386300183,6.0,7.89505537860887
7,7.87604019523756,1.1565043208109778,7.0,7.92092167498349
8,8.389541448836207,0.9750346784909543,8.0,7.436630736878057
9,9.483537812078723,1.008640292622146,9.0,9.651072052303158
10,10.016006330800632,0.874656759896111,10.0,9.443898768625044
11,10.643998366063972,0.8047416330149956,11.0,10.441124295715692
12,11.869256470303826,0.9306347983424847,12.0,12.29035472587924
13,11.985699048131057,0.675848218664167,13.0,10.704063706410643
14,12.293459647898741,0.562410559470749,14.0,11.93009860098436
15,13.493508833175557,0.7601001939705714,15.0,14.325254964910831
16,14.519249890696969,0.8415781409119167,16.0,14.784602655598691
17,16.159460666162186,1.0891344605882216,17.0,17.37709679911433
18,17.099073678931678,1.0437483336938602,18.0,16.910371109374548
19,17.776037136085648,0.9341805262584302,19.0,17.30523555839765
20,19.707632373663714,1.2285956373144855,20.08,21.838778522705866
21,20.94986833095723,1.2324438054205906,21.24,20.969068439416155
22,22.343702591389945,1.2767320106128224,22.479999999999997,22.561033845625506
23,22.97486293804033,1.1014604331993612,23.799999999999997,22.090302176543847
24,24.27489772101692,1.1552592862395723,25.199999999999996,24.546740730569777
25,26.05799573015824,1.3256628508366748,26.679999999999996,26.813107107651835
26,27.153799326482726,1.2623733649158364,28.239999999999995,26.85880770709323
27,29.164582491163625,1.4709795459582036,29.879999999999995,30.3308376220148
28,30.779965042637887,1.5109204959762084,31.59999999999999,30.87923357209743
29,32.669180211908,1.6232978865106031,33.39999999999999,33.04996750024806
30,34.42055974020475,1.6633647031786456,35.279999999999994,34.55795206532472
31,37.14687567854711,2.003704622755079,37.239999999999995,39.46273382141072
32,39.19285528380803,2.0165662922633203,39.279999999999994,39.263803330314474
33,40.76324769868644,1.8881167706395054,41.39999999999999,40.13074688525291
34,43.382729116756714,2.0912676033315636,43.599999999999994,44.58705389452382
35,44.99014213285053,1.960980786226943,45.8,44.334987620034774
36,47.4716409746241,2.0996393365327153,48.0,48.2506363140057
37,48.918594091200625,1.926960190998984,50.2,47.84839585134427
38,50.8301205593958,1.9229250662875241,52.400000000000006,50.80617674132189
39,53.77794607103101,2.1882460723895476,54.60000000000001,54.83623348304296
40,56.67421547698729,2.3767243545528114,56.80000000000001,57.68615989599451
41,59.11742989064799,2.3946758969249426,59.000000000000014,59.20564193742798
42,61.29392084571951,2.335166230353037,61.20000000000002,61.06122206113413
43,63.347858999898975,2.2563097792020486,63.40000000000002,63.03867556529287
44,64.83776426350535,2.03492943735597,65.60000000000002,63.82577361155911
45,66.90413534602844,2.0440795209905755,67.80000000000003,66.93618694992638
46,69.18142510514677,2.1134358498146923,70.00000000000003,69.44723347484829
47,72.27902330566579,2.41035040926742,72.20000000000003,73.46854667146273
48,74.75415863580477,2.429952513339105,74.40000000000003,74.81234194748218
49,76.2428703791859,2.1364399898615662,76.60000000000004,74.48435181356476
50,78.69185549812653,2.2309287393820325,78.80000000000004,79.1889007632738
51,80.76317206358263,2.1845856952052123,81.00000000000004,80.53790126350046
52,82.68348491301413,2.110041698486851,83.20000000000005,82.3876935996329
53,85.3612265779616,2.270496367306859,85.40000000000005,86.13401154660909
54,88.12520523178885,2.409968268214241,87.60000000000005,88.8371994269952
55,90.70167964457855,2.456688257011671,89.75000000000006,90.8675361429395
56,92.27995109427737,2.20403464476418,91.85000000000004,90.84293897213288
57,93.98910456995648,2.0629802440740663,93.90000000000003,93.5289451489786
58,96.17376934498128,2.098654493424662,95.90000000000003,96.29751611768432
59,98.62069671606078,2.2042692362921583,97.85000000000004,99.02065415254688
60,100.14384643802926,1.9943091830359212,99.75000000000006,99.1749909145857
61,101.78991467064759,1.8885273430808627,101.60000000000008,101.37720922800348
62,102.98085160630603,1.6785428843031196,103.40000000000006,102.07239803119283
63,104.25514471606985,1.5583409526190317,105.15000000000006,103.71455205110324
64,106.74212496649862,1.8306743009103823,106.85000000000008,107.8250309868731
65,109.25233049524844,2.029989653619158,108.55000000000008,110.17748803428506
66,110.82054582341809,1.8955058034993417,110.25000000000009,110.16358785410368
67,112.90482215186977,1.9497282310974722,111.95000000000007,113.1542394774705
68,114.49080733193256,1.8461805581722015,113.65000000000008,114.08396323005724
69,115.6111529871917,1.6373936249282655,115.35000000000008,114.57585629447394
70,117.35863851433167,1.668934014196272,117.05000000000008,117.48367472661018
71,119.69685814487697,1.8625206841816684,118.75000000000009,120.59564387975924
72,120.99983264106415,1.7007979906622266,120.45000000000007,120.40700875306814
73,123.3437536785657,1.8898411530853414,122.15000000000008,124.0275723869769
74,124.14511261611297,1.5624234889130262,123.8500000000001,120.7063058750924
75,125.9548479050817,1.63275211700464,125.5500000000001,126.53628300525035
76,127.50715216141629,1.6113735860843703,127.2500000000001,127.3544564818859
77,128.91282311798363,1.5595847765754447,128.9500000000001,128.59119117944107
78,130.58477620251932,1.587070765090446,130.6500000000001,130.76011293184268
79,131.35779174920708,1.3901387820121434,132.35000000000008,129.964917302479
