iteration,x1,x2
1,1.0354177202504582,2.130663196631506
2,0.039199255506096264,1.9722945511831733
3,0.039199255506096264,1.9722945511831733
4,0.039199255506096264,1.9722945511831733
5,0.039199255506096264,1.9722945511831733
6,0.01934179932194713,0.11170926538941206
7,0.01934179932194713,0.11170926538941206
8,0.01934179932194713,0.11170926538941206
9,0.01934179932194713,0.11170926538941206
10,0.01934179932194713,0.11170926538941206
11,0.01934179932194713,0.11170926538941206
12,0.01934179932194713,0.11170926538941206
13,0.01934179932194713,0.11170926538941206
14,-0.042455219439027164,0.004620231199925051
15,-0.042455219439027164,0.004620231199925051
16,-0.042455219439027164,0.004620231199925051
17,-0.042455219439027164,0.004620231199925051
18,-0.042455219439027164,0.004620231199925051
19,0.02428575335030142,-0.029065534141796384
20,0.02428575335030142,-0.029065534141796384
21,0.02428575335030142,-0.029065534141796384
22,0.02428575335030142,-0.029065534141796384
23,0.02428575335030142,-0.029065534141796384
24,0.02428575335030142,-0.029065534141796384
25,0.02428575335030142,-0.029065534141796384
26,0.02428575335030142,-0.029065534141796384
27,0.014292110920713225,0.024372428836491183
28,0.014292110920713225,0.024372428836491183
29,0.014292110920713225,0.024372428836491183
30,0.014292110920713225,0.024372428836491183
31,0.014292110920713225,0.024372428836491183
32,0.014292110920713225,0.024372428836491183
33,0.008811142581967845,-0.01989158061821389
34,0.008811142581967845,-0.01989158061821389
35,0.008811142581967845,-0.01989158061821389
36,0.009092063593822381,-0.0007250531308455044
37,0.009092063593822381,-0.0007250531308455044
38,0.009092063593822381,-0.0007250531308455044
39,0.009092063593822381,-0.0007250531308455044
40,-0.0004553584535934088,-0.0014164414829468653
41,-0.0004553584535934088,-0.0014164414829468653
42,-0.0004553584535934088,-0.0014164414829468653
43,-0.0004553584535934088,-0.0014164414829468653
44,-0.0004553584535934088,-0.0014164414829468653
45,-0.0004553584535934088,-0.0014164414829468653
46,-0.0004553584535934088,-0.0014164414829468653
47,-0.0004553584535934088,-0.0014164414829468653
48,-0.0004553584535934088,-0.0014164414829468653
49,-0.0004553584535934088,-0.0014164414829468653
50,-0.0004553584535934088,-0.0014164414829468653
51,-0.0004553584535934088,-0.0014164414829468653
52,-0.0004553584535934088,-0.0014164414829468653
53,-0.0004553584535934088,-0.0014164414829468653
54,-0.0004553584535934088,-0.0014164414829468653
55,-0.0004553584535934088,-0.0014164414829468653
56,-0.0003360113892898677,0.0006815653319231188
